training_seed,arm,scenario_seed,tx_ratio,discovery_rate,mean_delay_censored,neighbor_knowledge_recall,aligned_handshake_opportunities,step_reward_mean
29260711,B,33260720,0.496,0.4666666666666667,238.75555555555556,0.7666666666666667,25.0,0.0243920236825943
29260711,B,33260721,0.5,0.6888888888888889,185.88888888888889,0.9555555555555556,33.0,0.037583619356155396
29260711,B,33260722,0.49266666666666664,0.4666666666666667,211.2888888888889,0.8222222222222222,26.0,0.02643224596977234
29260711,B,33260723,0.49933333333333335,0.5111111111111111,215.88888888888889,0.8666666666666667,35.0,0.027909429743885994
29260711,B,33260724,0.508,0.5555555555555556,220.73333333333332,0.8666666666666667,31.0,0.02942487597465515
29260711,B,33260725,0.49333333333333335,0.5777777777777777,192.7111111111111,0.9111111111111111,30.0,0.032456908375024796
29260711,B,33260726,0.485,0.5333333333333333,211.0888888888889,0.7555555555555555,31.0,0.02922396920621395
29260711,B,33260727,0.495,0.4888888888888889,212.44444444444446,0.7888888888888889,38.0,0.0271819606423378
29260711,B,33260728,0.49933333333333335,0.4666666666666667,220.66666666666666,0.8,26.0,0.025756562128663063
29260711,B,33260729,0.496,0.5333333333333333,203.51111111111112,0.7777777777777778,30.0,0.02978086844086647
29260711,B,33260730,0.504,0.35555555555555557,249.82222222222222,0.6111111111111112,27.0,0.018922584131360054
29260711,C,33260711,0.55,0.5111111111111111,218.24444444444444,0.8666666666666667,33.0,0.02772550657391548
29260711,C,33260712,0.5643333333333334,0.4888888888888889,227.57777777777778,0.7222222222222222,27.0,0.02615649439394474
29260711,C,33260713,0.5636666666666666,0.4666666666666667,234.13333333333333,0.8222222222222222,58.0,0.024469856172800064
29260711,C,33260714,0.5636666666666666,0.37777777777777777,247.62222222222223,0.6333333333333333,30.0,0.019944801926612854
29260711,C,33260715,0.563,0.4222222222222222,224.75555555555556,0.7444444444444445,41.0,0.023415537551045418
29260711,C,33260716,0.5716666666666667,0.5555555555555556,191.88888888888889,0.9,30.0,0.03160211443901062
29260711,C,33260717,0.5346666666666666,0.4444444444444444,247.88888888888889,0.6666666666666666,35.0,0.02271140366792679
29260711,C,33260718,0.5726666666666667,0.5555555555555556,211.44444444444446,0.8444444444444444,29.0,0.030117208138108253
29260711,C,33260719,0.5566666666666666,0.5777777777777777,209.6,0.8888888888888888,28.0,0.031189341098070145
29260711,C,33260720,0.5566666666666666,0.4888888888888889,232.44444444444446,0.8222222222222222,30.0,0.025740275159478188
29260711,C,33260721,0.5866666666666667,0.6444444444444445,193.0888888888889,0.9555555555555556,33.0,0.03518848121166229
29260711,C,33260722,0.5553333333333333,0.6222222222222222,217.7111111111111,0.9444444444444444,29.0,0.03244563937187195
29260711,C,33260723,0.5343333333333333,0.6666666666666666,202.55555555555554,0.9555555555555556,47.0,0.03526943922042847
29260711,C,33260724,0.568,0.4666666666666667,226.55555555555554,0.8444444444444444,26.0,0.025293421000242233
29260711,C,33260725,0.5673333333333334,0.4888888888888889,218.75555555555556,0.8222222222222222,25.0,0.026833709329366684
29260711,C,33260726,0.564,0.6888888888888889,200.62222222222223,0.9888888888888889,37.0,0.03643825650215149
29260711,C,33260727,0.5573333333333333,0.5111111111111111,209.55555555555554,0.8777777777777778,32.0,0.028396019712090492
29260711,C,33260728,0.5543333333333333,0.5333333333333333,212.75555555555556,0.8666666666666667,29.0,0.02910188026726246
29260711,C,33260729,0.5686666666666667,0.5555555555555556,200.8,0.8777777777777778,29.0,0.03092821314930916
29260711,C,33260730,0.5763333333333334,0.4444444444444444,226.2,0.7444444444444445,28.0,0.02437017299234867
29260711,D,33260711,0.53,0.6,210.24444444444444,0.8111111111111111,43.0,0.031957510858774185
29260711,D,33260712,0.5496666666666666,0.5777777777777777,205.2,0.9333333333333333,28.0,0.03153044357895851
29260711,D,33260713,0.5386666666666666,0.5333333333333333,221.11111111111111,0.8222222222222222,73.0,0.0280997846275568
29260711,D,33260714,0.5463333333333333,0.4444444444444444,228.9777777777778,0.6222222222222222,28.0,0.024171145632863045
29260711,D,33260715,0.5636666666666666,0.5777777777777777,198.11111111111111,0.9222222222222223,44.0,0.03194722160696983
