slot,samples,candidate_count_mean_mean,positive_beam_recall_mean,empty_opportunity_exclusion_rate_mean,selected_candidate_compliance_mean,selected_undiscovered_beam_rate_mean,tx_fraction_mean
60,150,15.333333333333334,0.9785227326520709,0.42531347006075215,1.0,0.6606666666666666,0.47199999999999986
61,150,15.26,0.978771701771522,0.4276812743257014,1.0,0.6373333333333333,0.49400000000000005
62,150,15.149333333333335,0.9785002065329141,0.43203891671136935,1.0,0.6519999999999999,0.51
63,150,15.033333333333333,0.9793816139796494,0.4365586753954313,1.0,0.6426666666666667,0.4926666666666666
64,150,14.926666666666666,0.9801465904335543,0.4402383273766629,1.0,0.63,0.484
65,150,14.84066666666667,0.9806515888949426,0.44301872286748584,1.0,0.604,0.47466666666666657
66,150,14.741333333333335,0.9807066798221565,0.4465645448450942,1.0,0.6140000000000001,0.49666666666666665
67,150,14.644666666666668,0.9814447133705247,0.44996455500161353,1.0,0.5826666666666667,0.4759999999999999
68,150,14.532666666666664,0.9818937779203755,0.45417821704175876,1.0,0.5846666666666666,0.4973333333333333
69,150,14.438666666666665,0.9819698983959887,0.45726934502924876,1.0,0.5786666666666667,0.47
70,150,14.32,0.9813204071327719,0.46146840805517364,1.0,0.5886666666666668,0.4646666666666666
71,150,14.222666666666667,0.9811700513710707,0.464554429884174,1.0,0.5626666666666668,0.4746666666666667
72,150,14.094666666666665,0.9812977434850916,0.46929656501148886,1.0,0.5539999999999999,0.47533333333333333
73,150,13.979333333333335,0.9809150879360236,0.4734515955763099,1.0,0.5513333333333332,0.44933333333333325
74,150,13.879333333333333,0.9804741281614308,0.4764811107264338,1.0,0.5386666666666666,0.4873333333333333
75,150,13.738000000000001,0.981350297532767,0.48197553810702604,1.0,0.5106666666666666,0.45933333333333337
76,150,13.596666666666668,0.980936684327285,0.4874864166127387,1.0,0.5206666666666666,0.45866666666666667
77,150,13.49066666666667,0.9805502006862442,0.4913182169142921,1.0,0.5213333333333332,0.4526666666666667
78,150,13.382000000000001,0.9813146729877849,0.49527216874048274,1.0,0.5133333333333333,0.4506666666666666
79,150,13.270666666666665,0.9810852894331626,0.49888877134646786,1.0,0.506,0.4586666666666667
80,150,13.159333333333334,0.9809762500059469,0.5027784660108533,1.0,0.48400000000000004,0.44399999999999995
81,150,13.047999999999998,0.981868581303889,0.506575265325382,1.0,0.4953333333333333,0.44
82,150,12.953333333333333,0.9827033502705274,0.5098124589789745,1.0,0.48866666666666675,0.42799999999999994
83,150,12.879333333333333,0.9827423185649932,0.5117014658746726,1.0,0.44399999999999995,0.4293333333333333
84,150,12.76,0.9830902333030529,0.5157926375545958,1.0,0.4446666666666666,0.4266666666666666
85,150,12.631333333333332,0.9827840609466048,0.5203242229109936,1.0,0.44599999999999995,0.4246666666666666
86,150,12.514,0.9828127401725419,0.5245685332017009,1.0,0.43333333333333335,0.41533333333333333
87,150,12.405333333333335,0.9827818716570949,0.5285666494878958,1.0,0.4246666666666667,0.4
88,150,12.272,0.9825091614704924,0.533663851482488,1.0,0.4353333333333333,0.4233333333333333
89,150,12.158,0.9820392732174762,0.5373718407960091,1.0,0.41600000000000004,0.412
