algorithm,collision_count,discovered_edges,discovery_rate,empty_scan_ratio,env_protocol,episode,episode_cumulative_reward,idle_actions,lambda2,lcc_ratio,new_edges_count,reward_mean,reward_sum,rx_actions,scan_actions,seed,sense_actions,slot,training_step,true_edges,tx_actions,run,network,reward_version,node_count,beam_count,azimuth_cells,elevation_cells,slot_duration_ms
isac_mappo,0,1,0.0222222222222222,0.979591836734694,isac_structured_marl,1,-8.514999806880951,9,0.0,0.2,0,-0.0499999932944774,-0.4999999403953552,66,147,20260706,54,20,321,45,81,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,1,0.0222222222222222,0.9774011299435028,isac_structured_marl,1,-10.69999983906746,12,0.0,0.2,0,-0.0275000035762786,-0.2750000357627868,78,177,20260706,71,25,326,45,99,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,4,0.0888888888888888,0.9759615384615384,isac_structured_marl,1,-6.8399997651577,16,0.0,0.2,0,-0.0165000017732381,-0.1650000214576721,95,208,20260706,86,30,331,45,113,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,5,0.1111111111111111,0.975206611570248,isac_structured_marl,1,-7.129999876022339,18,1.0812916654434328e-16,0.4,1,0.1644999831914901,1.644999861717224,113,242,20260706,100,35,336,45,129,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,0,9,0.2,0.978494623655914,isac_structured_marl,1,-1.5249993801116943,19,-4.045436600933522e-16,0.8,1,0.158500000834465,1.5850000381469729,134,279,20260706,112,40,341,45,145,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,2,9,0.2,0.9777070063694268,isac_structured_marl,1,-3.914999216794968,25,-4.045436600933522e-16,0.8,0,-0.0554999932646751,-0.5549999475479126,155,314,20260706,121,45,346,45,159,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,2,10,0.2222222222222222,0.9797101449275364,isac_structured_marl,1,-3.9949990808963776,29,4.669760400449773e-16,0.8,1,0.158500000834465,1.5850000381469729,171,345,20260706,136,50,351,45,174,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,6,13,0.2888888888888888,0.9765013054830288,isac_structured_marl,1,-0.3049995899200439,31,0.4932687981790744,1.0,0,-0.0500000044703483,-0.5000000596046448,187,383,20260706,146,55,356,45,196,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,8,13,0.2888888888888888,0.9782082324455206,isac_structured_marl,1,-2.319999575614929,36,0.4932687981790744,1.0,0,-0.0460000038146972,-0.4600000381469726,200,413,20260706,161,60,361,45,213,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,10,14,0.3111111111111111,0.9796380090497736,isac_structured_marl,1,-2.259999692440033,44,0.5253545904507998,1.0,0,-0.0270000007003545,-0.270000010728836,216,442,20260706,174,65,366,45,226,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,16,15,0.3333333333333333,0.977035490605428,isac_structured_marl,1,-2.6099997460842133,50,0.5268602149778222,1.0,0,-0.0454999953508377,-0.4549999535083771,238,479,20260706,181,70,371,45,241,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,18,17,0.3777777777777777,0.9785575048732944,isac_structured_marl,1,-0.8799994587898254,52,0.6022563286637364,1.0,0,-0.0459999963641166,-0.4599999487400055,257,513,20260706,195,75,376,45,256,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,26,18,0.4,0.9761904761904762,isac_structured_marl,1,-1.05999955534935,56,1.0164848809358316,1.0,0,-0.0374999977648258,-0.3749999701976776,276,546,20260706,208,80,381,45,270,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,33,19,0.4222222222222222,0.9724612736660928,isac_structured_marl,1,-1.3799994885921478,60,1.4344174678282835,1.0,1,0.158500000834465,1.5850000381469729,292,581,20260706,219,85,386,45,289,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,40,21,0.4666666666666667,0.967741935483871,isac_structured_marl,1,0.2000004053115844,62,1.999999999999997,1.0,0,-0.0320000015199184,-0.320000022649765,310,620,20260706,228,90,391,45,310,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,44,21,0.4666666666666667,0.9642857142857144,isac_structured_marl,1,-1.4949995428323746,71,1.999999999999997,1.0,0,-0.0225000008940696,-0.2250000089406967,323,644,20260706,245,95,396,45,321,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,44,21,0.4666666666666667,0.9626865671641792,isac_structured_marl,1,-3.2599995881319046,78,1.999999999999997,1.0,0,-0.050000000745058,-0.5,339,670,20260706,262,100,401,45,331,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,47,21,0.4666666666666667,0.9642346208869814,isac_structured_marl,1,-5.224999561905861,85,1.999999999999997,1.0,0,-0.0434999987483024,-0.4350000023841858,357,699,20260706,276,105,406,45,342,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,49,22,0.4888888888888889,0.962912087912088,isac_structured_marl,1,-5.19499970972538,91,2.0006944434206884,1.0,0,-0.0474999994039535,-0.4749999940395355,376,728,20260706,291,110,411,45,352,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,53,23,0.5111111111111111,0.9578392621870884,isac_structured_marl,1,-5.269999608397484,96,2.198866893609553,1.0,0,-0.0369999967515468,-0.3699999749660492,393,759,20260706,305,115,416,45,366,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,59,23,0.5111111111111111,0.9568527918781726,isac_structured_marl,1,-7.174999639391899,103,2.198866893609553,1.0,0,-0.0375000014901161,-0.375,406,788,20260706,319,120,421,45,382,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,64,23,0.5111111111111111,0.9525547445255474,isac_structured_marl,1,-9.369999691843988,108,2.198866893609553,1.0,0,-0.0355000048875808,-0.3550000488758087,424,822,20260706,330,125,426,45,398,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,72,24,0.5333333333333333,0.951764705882353,isac_structured_marl,1,-9.38499976694584,113,2.2061689674414806,1.0,1,0.160999983549118,1.6099998950958252,440,850,20260706,347,130,431,45,410,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,74,24,0.5333333333333333,0.9501133786848072,isac_structured_marl,1,-11.539999708533289,122,2.2061689674414806,1.0,0,-0.0410000011324882,-0.4099999964237213,462,882,20260706,356,135,436,45,420,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,80,24,0.5333333333333333,0.9517014270032932,isac_structured_marl,1,-13.524999722838402,129,2.2061689674414806,1.0,0,-0.0285000000149011,-0.2849999964237213,475,911,20260706,370,140,441,45,436,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,82,25,0.5555555555555556,0.951271186440678,isac_structured_marl,1,-13.724999621510506,133,2.3692875978990817,1.0,0,-0.0434999987483024,-0.4349999725818634,492,944,20260706,383,145,446,45,452,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,82,25,0.5555555555555556,0.9515962924819772,isac_structured_marl,1,-15.659999564290048,138,2.3692875978990817,1.0,0,-0.0515000000596046,-0.5149999856948853,507,971,20260706,401,150,451,45,464,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,84,25,0.5555555555555556,0.9509018036072144,isac_structured_marl,1,-17.589999571442604,144,2.3692875978990817,1.0,0,-0.0340000018477439,-0.3400000035762787,520,998,20260706,418,155,456,45,478,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,86,25,0.5555555555555556,0.9501953125,isac_structured_marl,1,-19.42999954521656,152,2.3692875978990817,1.0,0,-0.0480000004172325,-0.4800000190734863,533,1024,20260706,434,160,461,45,491,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
isac_mappo,88,26,0.5777777777777777,0.9495718363463368,isac_structured_marl,1,-19.24999950826168,164,2.3799018555151568,1.0,0,-0.0350000038743019,-0.3500000238418579,548,1051,20260706,445,165,466,45,503,train_n10_b10_isac_mappo_300slot,shared,legacy,10,648,36,18,5.0
