active_count,belief_max,belief_mean,candidate_count,discovered_edges_before,method,node,positive_count,score_max,slot
,0.8724943399429321,0.20927302539348602,51,1,ours_marl,2,,1.0,28
,0.7799990177154541,0.15461714565753937,24,1,ours_marl,3,,1.0,28
,0.8689992427825928,0.1696367710828781,32,1,ours_marl,4,,1.0,28
,0.7009843587875366,0.1756339967250824,33,1,ours_marl,5,,1.0,28
,0.9064324498176575,0.2042742371559143,40,1,ours_marl,6,,1.0,28
,0.7236082553863525,0.16924376785755157,36,1,ours_marl,7,,1.0,28
,0.6779971718788147,0.15464656054973602,26,1,ours_marl,8,,1.0,28
,0.8783725500106812,0.1713852882385254,23,1,ours_marl,9,,1.0,28
,0.7700124979019165,0.1813732087612152,30,1,ours_marl,0,,1.0,29
,0.8837137818336487,0.17608657479286194,24,1,ours_marl,1,,1.0,29
,0.855044424533844,0.20238062739372253,48,1,ours_marl,2,,1.0,29
,0.7643990516662598,0.15152478218078613,23,1,ours_marl,3,,1.0,29
,0.8516192436218262,0.1662440150976181,31,1,ours_marl,4,,1.0,29
,0.6869646906852722,0.1721213161945343,33,1,ours_marl,5,,1.0,29
,0.9497367143630981,0.1981508582830429,40,1,ours_marl,6,,1.0,29
,0.7091360688209534,0.16038209199905396,31,1,ours_marl,7,,1.0,29
,0.6752387285232544,0.14884668588638306,23,1,ours_marl,8,,1.0,29
,0.860805094242096,0.16795757412910461,22,1,ours_marl,9,,1.0,29
,0.7546122670173645,0.1767692267894745,28,1,ours_marl,0,,1.0,30
,0.866039514541626,0.1715061515569687,24,1,ours_marl,1,,1.0,30
,0.8379435539245605,0.1983329951763153,47,1,ours_marl,2,,1.0,30
,0.8335164189338684,0.14513877034187317,21,1,ours_marl,3,,1.0,30
,0.8345868587493896,0.16291914880275726,31,1,ours_marl,4,,1.0,30
,0.8529514074325562,0.17285919189453125,33,1,ours_marl,5,,1.0,30
,0.9307419657707214,0.19418780505657196,40,1,ours_marl,6,,1.0,30
,0.8477802872657776,0.15258526802062988,28,1,ours_marl,7,,1.0,30
,0.6617339849472046,0.14586973190307617,22,1,ours_marl,8,,1.0,30
,0.8435890078544617,0.16459843516349792,22,1,ours_marl,9,,1.0,30
,0.7395200133323669,0.17323383688926697,27,1,ours_marl,0,,1.0,31
,0.8487187623977661,0.1680760681629181,23,1,ours_marl,1,,1.0,31
,0.8211846947669983,0.19274407625198364,44,1,ours_marl,2,,1.0,31
,0.8168460726737976,0.14223599433898926,21,1,ours_marl,3,,1.0,31
,0.8178951144218445,0.15966075658798218,31,1,ours_marl,4,,1.0,31
,0.835892379283905,0.15988150238990784,29,1,ours_marl,5,,1.0,31
,0.9330559372901917,0.18531683087348938,41,1,ours_marl,6,,1.0,31
,0.8308246731758118,0.14953355491161346,28,1,ours_marl,7,,1.0,31
,0.6484993100166321,0.1429523527622223,22,1,ours_marl,8,,1.0,31
