beam,discovered_edges_after,empty_scan_ratio,method,mode,new_edges_this_slot,node,sensing_detection_rate,slot
82,2,0.7288629737609329,ours_marl,rx,1,8,0.8421052631578947,36
43,2,0.7288629737609329,ours_marl,tx,1,9,0.8421052631578947,36
66,3,0.7150997150997151,ours_marl,tx,1,0,0.8480392156862745,37
11,3,0.7150997150997151,ours_marl,tx,1,1,0.8480392156862745,37
0,3,0.7150997150997151,ours_marl,idle,1,2,0.8480392156862745,37
78,3,0.7150997150997151,ours_marl,rx,1,3,0.8480392156862745,37
68,3,0.7150997150997151,ours_marl,rx,1,4,0.8480392156862745,37
80,3,0.7150997150997151,ours_marl,tx,1,5,0.8480392156862745,37
49,3,0.7150997150997151,ours_marl,rx,1,6,0.8480392156862745,37
0,3,0.7150997150997151,ours_marl,idle,1,7,0.8480392156862745,37
56,3,0.7150997150997151,ours_marl,rx,1,8,0.8480392156862745,37
57,3,0.7150997150997151,ours_marl,tx,1,9,0.8480392156862745,37
0,3,0.713091922005571,ours_marl,idle,0,0,0.8457943925233645,38
