collision_count_control,collision_count_delta,collision_count_treatment,collision_penalized_discovery_rate_control,collision_penalized_discovery_rate_delta,collision_penalized_discovery_rate_treatment,control,discovery_rate_control,discovery_rate_delta,discovery_rate_treatment,episode,lambda2_control,lambda2_delta,lambda2_treatment,node_count,rf_chains,treatment
1285,-34.0,1251,0.16162790697674417,0.01986675494496401,0.18149466192170818,wang2025_isac_no_collab,0.639080459770115,0.06436781609195397,0.7034482758620689,1,-2.4387900260424713e-15,14.195745655022375,14.195745655022373,30,1,budgeted_collision_aware_isac
2894,-1643.0,1251,0.0865124662060679,0.09498219571564029,0.18149466192170818,wang2025_comm_tables,0.6620689655172414,0.04137931034482756,0.7034482758620689,1,9.656856968734651,4.538888686287722,14.195745655022373,30,1,budgeted_collision_aware_isac
2943,-1692.0,1251,0.08969804618117229,0.0917966157405359,0.18149466192170818,wang2025_isac_tables,0.696551724137931,0.006896551724137945,0.7034482758620689,1,12.62998655483803,1.5657591001843425,14.195745655022373,30,1,budgeted_collision_aware_isac
3711,-2460.0,1251,0.06753497346840329,0.1139596884533049,0.18149466192170818,improved_rl_isac,0.6436781609195402,0.05977011494252871,0.7034482758620689,1,12.890452252631329,1.3052934023910439,14.195745655022373,30,1,budgeted_collision_aware_isac
0,1251.0,1251,0.004597701149425287,0.1768969607722829,0.18149466192170818,uniform_random,0.004597701149425287,0.6988505747126437,0.7034482758620689,1,0.0,14.195745655022373,14.195745655022373,30,1,budgeted_collision_aware_isac
858,-204.0,654,0.21500386697602475,0.07884369959881454,0.2938475665748393,wang2025_isac_no_collab,0.639080459770115,0.096551724137931,0.735632183908046,2,11.14938862007776,4.963335085311895,16.112723705389655,30,1,budgeted_collision_aware_isac
1694,-1040.0,654,0.14513856270549555,0.14870900386934374,0.2938475665748393,wang2025_comm_tables,0.7103448275862069,0.025287356321839094,0.735632183908046,2,14.972480727681596,1.1402429777080592,16.112723705389655,30,1,budgeted_collision_aware_isac
1867,-1213.0,654,0.14074717636837533,0.15310039020646396,0.2938475665748393,wang2025_isac_tables,0.7448275862068966,-0.00919540229885063,0.735632183908046,2,15.276860726855357,0.8358629785342977,16.112723705389655,30,1,budgeted_collision_aware_isac
2186,-1532.0,654,0.11674933231590996,0.17709823425892934,0.2938475665748393,improved_rl_isac,0.7034482758620689,0.03218390804597704,0.735632183908046,2,14.530923396779455,1.5818003086102,16.112723705389655,30,1,budgeted_collision_aware_isac
0,654.0,654,0.013793103448275862,0.28005446312656346,0.2938475665748393,uniform_random,0.013793103448275862,0.7218390804597701,0.735632183908046,2,0.0,16.112723705389655,16.112723705389655,30,1,budgeted_collision_aware_isac
1325,-573.0,752,0.15625,0.10238521482729568,0.2586352148272957,wang2025_isac_no_collab,0.632183908045977,0.0735632183908046,0.7057471264367816,3,10.85907206398993,-1.141984241165785,9.717087822824144,30,1,budgeted_collision_aware_isac
2249,-1497.0,752,0.11512667660208643,0.14350853822520926,0.2586352148272957,wang2025_comm_tables,0.7103448275862069,-0.0045977011494252595,0.7057471264367816,3,15.157499089967772,-5.440411267143627,9.717087822824144,30,1,budgeted_collision_aware_isac
2270,-1518.0,752,0.11090573012939002,0.14772948469790564,0.2586352148272957,wang2025_isac_tables,0.6896551724137931,0.016091954022988464,0.7057471264367816,3,10.23210496623323,-0.5150171434090858,9.717087822824144,30,1,budgeted_collision_aware_isac
2871,-2119.0,752,0.0852994555353902,0.17333575929190548,0.2586352148272957,improved_rl_isac,0.6482758620689655,0.05747126436781613,0.7057471264367816,3,12.574694359436945,-2.857606536612801,9.717087822824144,30,1,budgeted_collision_aware_isac
